localtime,time,symbol,signal,signal_sim,SameFlag
09:43:07.813243209,09:43:07.000000000,sh603988,-26.8081,-25.8081,0
09:43:13.805293835,09:43:13.000000000,sh603988,-12.171,-11.171,0
09:43:16.807216657,09:43:16.000000000,sh603988,-14.7455,-13.7455,0
09:43:19.814913330,09:43:19.000000000,sh603988,-10.8521,-9.8521,0
09:43:22.814280727,09:43:22.000000000,sh603988,-9.83563,-8.83563,0
09:43:25.816187627,09:43:25.000000000,sh603988,-7.897839999999999,-6.897839999999999,0
09:43:28.808256588,09:43:28.000000000,sh603988,-11.7163,-10.7163,0
09:43:31.584469580,09:43:31.000000000,sh603988,-10.3614,-9.3614,0
09:43:34.584160711,09:43:34.000000000,sh603988,-0.62307,0.37693,0
09:43:37.594729471,09:43:37.000000000,sh603988,7.949510000000001,8.94951,0
09:43:40.596414284,09:43:40.000000000,sh603988,4.53432,5.53432,0
09:43:43.597724165,09:43:43.000000000,sh603988,2.12067,3.12067,0
09:43:46.592725154,09:43:46.000000000,sh603988,-9.49668,-8.49668,0
09:43:49.595871683,09:43:49.000000000,sh603988,9.56163,10.56163,0
09:43:52.594857461,09:43:52.000000000,sh603988,23.4446,24.4446,0
09:43:55.594610847,09:43:55.000000000,sh603988,0.297354,1.297354,0
09:43:58.595176178,09:43:58.000000000,sh603988,9.154,10.154,0
09:44:01.593905016,09:44:01.000000000,sh603988,12.5559,13.5559,0
09:44:04.597651113,09:44:04.000000000,sh603988,19.776,20.776,0
09:44:07.812161869,09:44:07.000000000,sh603988,24.587,25.587,0
09:44:08.028870172,09:44:08.000000000,sh603988,23.175,24.175,0
09:44:10.968616032,09:44:10.000000000,sh603988,21.8132,22.8132,0
09:44:13.969748420,09:44:13.000000000,sh603988,19.5828,20.5828,0
09:44:16.976310532,09:44:16.000000000,sh603988,15.9664,16.9664,0
09:44:19.945558388,09:44:19.000000000,sh603988,19.5898,20.5898,0
09:44:22.906899049,09:44:22.000000000,sh603988,19.1732,20.1732,0
09:44:25.931721234,09:44:25.000000000,sh603988,13.1239,14.1239,0
09:44:28.917328526,09:44:28.000000000,sh603988,12.0404,13.0404,0
09:44:31.918238907,09:44:31.000000000,sh603988,20.4812,21.4812,0
09:44:34.921534590,09:44:34.000000000,sh603988,19.1721,20.1721,0
09:44:37.906146546,09:44:37.000000000,sh603988,14.7088,15.7088,0
09:44:40.910932593,09:44:40.000000000,sh603988,10.5458,11.5458,0
09:44:46.919055790,09:44:46.000000000,sh603988,16.1514,17.1514,0
09:44:49.613113210,09:44:49.000000000,sh603988,17.4547,18.4547,0
09:44:52.610796735,09:44:52.000000000,sh603988,7.08511,8.08511,0
09:44:58.611256356,09:44:58.000000000,sh603988,13.4486,14.4486,0
09:45:01.606995976,09:45:01.000000000,sh603988,8.04242,8.04242,1
09:45:04.618140689,09:45:04.000000000,sh603988,0.0248971,0.0248971,1
09:45:07.607563330,09:45:07.000000000,sh603988,-1.20253,-1.20253,1
